RANDOM
1000;192.168.9.127;[authentication username=1000 password=asterisk1000];1001;
1001;192.168.9.127;[authentication username=1001 password=asterisk1001];1001;
1002;192.168.9.127;[authentication username=1002 password=asterisk1002];1001;
1003;192.168.9.127;[authentication username=1003 password=asterisk1003];1001;
1004;192.168.9.127;[authentication username=1004 password=asterisk1004];1001;
1005;192.168.9.127;[authentication username=1005 password=asterisk1005];1001;
1006;192.168.9.127;[authentication username=1006 password=asterisk1006];1001;
1007;192.168.9.127;[authentication username=1007 password=asterisk1007];1001;
1008;192.168.9.127;[authentication username=1008 password=asterisk1008];1001;
1009;192.168.9.127;[authentication username=1009 password=asterisk1009];1001;
1010;192.168.9.127;[authentication username=1010 password=asterisk1010];1001;
